arama_metni,kaynak,sebep
282/212;620;212-T;012 | 212,karisik_cozulemeyen,BELIRSIZ_3_ADAY
282/212;620;212-T;012 | 212-T,karisik_cozulemeyen,BELIRSIZ_3_ADAY
282/212;620;212-T;012 | 012,karisik_cozulemeyen,BELIRSIZ_3_ADAY
306/215;215-T | 215,karisik_cozulemeyen,BELIRSIZ_2_ADAY
306/215;215-T | 215-T,karisik_cozulemeyen,BELIRSIZ_2_ADAY
"338/217 ;217-T
211; 211-T
208  | 217",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"338/217 ;217-T
211; 211-T
208  | 217-T",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"338/217 ;217-T
211; 211-T
208  | 211",karisik_cozulemeyen,BELIRSIZ_2_ADAY
"338/217 ;217-T
211; 211-T
208  | 211-T",karisik_cozulemeyen,BELIRSIZ_2_ADAY
342/620 ; 214;214-M | 214,karisik_cozulemeyen,BELIRSIZ_2_ADAY
342/620 ; 214;214-M | 214-M,karisik_cozulemeyen,BELIRSIZ_2_ADAY
"382/834 -M;850-P,834
TEKLİ | 834 -M",karisik_cozulemeyen,BELIRSIZ_2_ADAY
407/111;111-K | 111,karisik_cozulemeyen,BELIRSIZ_2_ADAY
407/111;111-K | 111-K,karisik_cozulemeyen,BELIRSIZ_2_ADAY
961211/011 | 011,karisik_cozulemeyen,BELIRSIZ_2_ADAY
207,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
536_012_015,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
68601822,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
724218214,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
752031035,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
781215212,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
782212209,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
794015012,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803208A,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803208B,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803210B,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803210C,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803210D,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803208D,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803210E,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803212C,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803212D,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803209A,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803212E,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
803212F,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
812209212,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
864_017_012,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
867_019_014_012,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
985_022X10 ,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1064064,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
111613t,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1116915,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1116917,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1165030  024,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1168810 X 7,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1194011,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1215811,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1228,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1229,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1241014 X 7,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1278020,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1279010,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1283020,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1284025,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1288020-25,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1303024,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1304020,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1305040,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1306035,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1307039,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1308020,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1309020,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1310025,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1311025,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1312020,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1313015,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1419,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1473035 41,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1735050,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1735060,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1819018,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1854050,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
1952050,olcu_karmasik,"birden fazla ölçü/kod, hiç işlenmedi"
