dosya_adi,stok_kodu,uzanti,dosya_boyutu_byte,veritabaninda_var_mi
232_715_1.jpg,232_715,.jpg,4096,False
233_014_017_020_022_210_212_617_620_914_917_017-T_020-T_022-T_212-T_214-T_620-T_622-T_1.jpg,233_014_017_020_022_210_212_617_620_914_917_017-T_020-T_022-T_212-T_214-T_620-T_622-T,.jpg,4096,False
233_014_017_020_022_210_212_617_620_914_917_017-T_020-T_022-T_212-T_214-T_620-T_622-T_2.jpg,233_014_017_020_022_210_212_617_620_914_917_017-T_020-T_022-T_212-T_214-T_620-T_622-T,.jpg,4096,False
233_014_017_020_022_210_212_617_620_914_917_017-T_020-T_022-T_212-T_214-T_620-T_622-T_3.jpg,233_014_017_020_022_210_212_617_620_914_917_017-T_020-T_022-T_212-T_214-T_620-T_622-T,.jpg,4096,False
233_014_017_020_022_210_212_617_620_914_917_017-T_020-T_022-T_212-T_214-T_620-T_622-T_4.jpg,233_014_017_020_022_210_212_617_620_914_917_017-T_020-T_022-T_212-T_214-T_620-T_622-T,.jpg,4096,False
234_209_620_1.png,234_209_620,.png,18053,False
234_209_620_2.png,234_209_620,.png,18053,False
235_210_1.png,235_210,.png,20463,False
236_020_1.png,236_020,.png,21956,False
238_210_212_617_620_622_012_017_022_1.jpg,238_210_212_617_620_622_012_017_022,.jpg,4096,False
238_210_212_617_620_622_012_017_022_2.jpg,238_210_212_617_620_622_012_017_022,.jpg,4096,False
238_210_212_617_620_622_012_017_022_3.jpg,238_210_212_617_620_622_012_017_022,.jpg,4096,False
239_212_214_617_620_622_023_025_028_1.png,239_212_214_617_620_622_023_025_028,.png,24745,False
239_212_214_617_620_622_023_025_028_2.png,239_212_214_617_620_622_023_025_028,.png,24745,False
239_212_214_617_620_622_023_025_028_3.png,239_212_214_617_620_622_023_025_028,.png,24745,False
240_210_1.jpg,240_210,.jpg,4096,False
241_214_620_622_1.png,241_214_620_622,.png,17939,False
241_214_620_622_2.png,241_214_620_622,.png,17939,False
242_212_214_617_620_624_712_714_1.jpg,242_212_214_617_620_624_712_714,.jpg,4096,False
242_212_214_617_620_624_712_714_2.jpg,242_212_214_617_620_624_712_714,.jpg,4096,False
242_212_214_617_620_624_712_714_3.jpg,242_212_214_617_620_624_712_714,.jpg,4096,False
243_210_212_214_617_620_622_1.png,243_210_212_214_617_620_622,.png,20979,False
243_210_212_214_617_620_622_2.png,243_210_212_214_617_620_622,.png,20979,False
244_624_023_028_025_1.png,244_624_023_028_025,.png,20729,False
244_624_023_028_025_2.png,244_624_023_028_025,.png,20729,False
245_017_015_1.png,245_017_015,.png,16503,False
246_012_214_617_620_625_1.png,246_012_214_617_620_625,.png,18163,False
246_012_214_617_620_625_2.png,246_012_214_617_620_625,.png,18163,False
246_012_214_617_620_625_3.png,246_012_214_617_620_625,.png,18163,False
247_210_212_214_620_622_625_617_1.png,247_210_212_214_620_622_625_617,.png,15928,False
247_210_212_214_620_622_625_617_2.png,247_210_212_214_620_622_625_617,.png,15928,False
249_212_217_617_622_012_1.png,249_212_217_617_622_012,.png,15774,False
249_212_217_617_622_012_2.png,249_212_217_617_622_012,.png,15774,False
249_212_217_617_622_012_3.png,249_212_217_617_622_012,.png,15774,False
250_214_617_622_714_1.png,250_214_617_622_714,.png,18049,False
250_214_617_622_714_2.png,250_214_617_622_714,.png,18049,False
250_214_617_622_714_3.png,250_214_617_622_714,.png,18049,False
251_622_1.png,251_622,.png,19789,False
252_212_214_616_620_622_1.png,252_212_214_616_620_622,.png,18868,False
252_212_214_616_620_622_2.png,252_212_214_616_620_622,.png,18868,False
253_210_617_620_622_1.png,253_210_617_620_622,.png,19712,False
253_210_617_620_622_2.png,253_210_617_620_622,.png,19712,False
254_212_214_617_620_622_812_1.png,254_212_214_617_620_622_812,.png,20869,False
254_212_214_617_620_622_812_2.png,254_212_214_617_620_622_812,.png,20869,False
254_212_214_617_620_622_812_3.png,254_212_214_617_620_622_812,.png,20869,False
255_806_1.png,255_806,.png,3834,False
256_908_1.png,256_908,.png,21156,False
257_209_1.png,257_209,.png,22941,False
258_210_1.png,258_210,.png,20339,False
259_214_1.png,259_214,.png,24435,False
260_212_215_617_620_622_1.png,260_212_215_617_620_622,.png,21639,False
260_212_215_617_620_622_2.png,260_212_215_617_620_622,.png,21639,False
261_210_214_620_212_1.png,261_210_214_620_212,.png,22171,False
261_210_214_620_212_2.png,261_210_214_620_212,.png,14138,False
262_025_030_017_014_028_023_1.png,262_025_030_017_014_028_023,.png,22171,False
263_623_(_aslan_kafası_)_1.png,263_623_(_aslan_kafası_),.png,15772,False
264_212_623_1.png,264_212_623,.png,16096,False
264_212_623_2.png,264_212_623,.png,16096,False
265_215_1.jpg,265_215,.jpg,4096,False
266_210_1.jpg,266_210,.jpg,4096,False
267_617_620_220_1.jpg,267_617_620_220,.jpg,4096,False
267_617_620_220_2.jpg,267_617_620_220,.jpg,4096,False
268_214_217_220_228_617_620_624_628_522_530_538_548_212_1.jpg,268_214_217_220_228_617_620_624_628_522_530_538_548_212,.jpg,4096,False
268_214_217_220_228_617_620_624_628_522_530_538_548_212_2.jpg,268_214_217_220_228_617_620_624_628_522_530_538_548_212,.jpg,4096,False
268_214_217_220_228_617_620_624_628_522_530_538_548_212_3.jpg,268_214_217_220_228_617_620_624_628_522_530_538_548_212,.jpg,4096,False
269_007_1.png,269_007,.png,19768,False
270_012_212_617_1.jpg,270_012_212_617,.jpg,4096,False
270_012_212_617_2.jpg,270_012_212_617,.jpg,4096,False
270_012_212_617_3.jpg,270_012_212_617,.jpg,4096,False
271_917_923_920_914_1.jpg,271_917_923_920_914,.jpg,4096,False
272_014_1.png,272_014,.png,17025,False
273_012_1.png,273_012,.png,17246,False
274_014_214_022_222_215-T_1.jpg,274_014_214_022_222_215-T,.jpg,4096,False
274_014_214_022_222_215-T_2.jpg,274_014_214_022_222_215-T,.jpg,4096,False
275_217_1.png,275_217,.png,21341,False
276_010_210_1.png,276_010_210,.png,4236,False
276_010_210_2.jpg,276_010_210,.jpg,4096,False
277_915_1.png,277_915,.png,23801,False
"279_209_214_212,620_210_1.jpg","279_209_214_212,620_210",.jpg,4096,False
"279_209_214_212,620_210_2.jpg","279_209_214_212,620_210",.jpg,4096,False
280_212_620_1.jpg,280_212_620,.jpg,4096,False
280_212_620_2.jpg,280_212_620,.jpg,4096,False
281_115_1.png,281_115,.png,16040,False
282_212_620_212-T_012_1.png,282_212_620_212-T_012,.png,16463,False
282_212_620_212-T_012_2.png,282_212_620_212-T_012,.png,16463,False
282_212_620_212-T_012_3.png,282_212_620_212-T_012,.png,16463,False
283_217_1.jpg,283_217,.jpg,4096,False
