 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;819208/212/620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;820208620;RİVET;08 mm;13;?;?;;;;;;
;820208620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;821209620;RİVET;09 mm;14;?;?;;;;;;
;821_209/620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;822209;RİVET;09 mm;14;?;?;;;;;;
;823620A;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;823620B;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;823620C;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;823620D;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;823620E;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;823620F;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;823620G;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;823620H;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;823620I;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;823620J;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;824209A;RİVET;09 mm;14;?;?;;;;;;
;824209B;RİVET;09 mm;14;?;?;;;;;;
;824210A;RİVET;10 mm;16;?;?;;;;;;
;824210B;RİVET;10 mm;16;?;?;;;;;;
;824210C;RİVET;10 mm;16;?;?;;;;;;
;824209C;RİVET;09 mm;14;?;?;;;;;;
;824212;RİVET;12 mm;19;?;?;;;;;;
;824210D;RİVET;10 mm;16;?;?;;;;;;
;824210E;RİVET;10 mm;16;?;?;;;;;;
;824209D;RİVET;09 mm;14;?;?;;;;;;
;824208;RİVET;08 mm;13;?;?;;;;;;
;824209E;RİVET;"09 mm
";14;?;?;;;;;;
;824209F;RİVET;09 mm;14;?;?;;;;;;
;824209G;RİVET;09 mm;14;?;?;;;;;;
;824209H;RİVET;09 mm;14;?;?;;;;;;
;824210F;RİVET;10 mm;16;?;?;;;;;;
;825209;RİVET;09 mm;14;?;?;;;;;;
;826_210/620;RİVET;10 mm;16;?;?;;;;;;
;826_210/620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;827209;RİVET;09 mm;14;?;?;;;;;;
;828210;RİVET;10 mm;16;?;?;;;;;;
;829209;RİVET;09 mm;14;?;?;;;;;;
;830209;RİVET;09 mm;14;?;?;;;;;;
;831210;RİVET;10 mm;16;?;?;;;;;;
;832620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;833_620/212;RİVET;12 mm;19;?;?;;;;;;
;833_620/212;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;834209;RİVET;09 mm;14;?;?;;;;;;
;835210;RİVET;10 mm;16;?;?;;;;;;
;836210;RİVET;10 mm;16;?;?;;;;;;
;837210;RİVET;10 mm;16;?;?;;;;;;
;838210;RİVET;10 mm;16;?;?;;;;;;
;839210;RİVET;10 mm;16;?;?;;;;;;
;840210;RİVET;10 mm;16;?;?;;;;;;
;841208;RİVET;08 mm;13;?;?;;;;;;
;842210;RİVET;10 mm;16;?;?;;;;;;
;843012;ALTTAN DİKME DÜĞME;12 mm;19;?;?;;;;;;
;844020;TOKA;20 mm;32;?;?;;;;;;
;845015;TOKA;15 mm;24;?;?;;;;;;
;846_015;TOKA;15 mm;24;?;?;;;;;;
;847620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;848_010/014/024;TOKA;10 mm / 14 mm / 24 mm;16 Boy / 22 Boy / 38 Boy ;?;?;;;;;;
;849060;TOKA;60 mm;96;?;?;;;;;;
;850030;TOKA;30 mm;48;?;?;;;;;;
;851011;TOKA;11 mm;18;?;?;;;;;;
;852209;RİVET;09 mm;14;?;?;;;;;;
;853209;RİVET;09 mm;14;?;?;;;;;;
;854209;RİVET;09 mm;14;?;?;;;;;;
;855210;RİVET;10 mm;16;?;?;;;;;;
;856209;RİVET;09 mm;14;?;?;;;;;;
;857715;ÇIT ÇIT;15 mm;24;?;?;;;;;;
;858_015/018/020;ALTTAN DİKME DÜĞME;15 mm / 18 mm / 20 mm;24 Boy / 29 Boy / 32 Boy ;?;?;;;;;;
;859_715/711;ÇIT ÇIT;11 mm / 15 mm;18 Boy / 24 Boy ;?;?;;;;;;
;861015;ALTTAN DİKME DÜĞME;15 mm;24;?;?;;;;;;
;862011;ALTTAN DİKME DÜĞME;11 mm;18;?;?;;;;;;
;863011;ALTTAN DİKME DÜĞME;11 mm;18;?;?;;;;;;
;864_017_012;ALTTAN DİKME DÜĞME;12 mm / 17 mm;19 Boy / 27 Boy ;?;?;;;;;;
;865_018/015/12;ALTTAN DİKME DÜĞME;12 mm / 15 mm / 18 mm;19 Boy / 24 Boy / 29 Boy ;?;?;;;;;;
;867_019_014_012;ALTTAN DİKME DÜĞME;12 mm / 14 mm / 19 mm;19 Boy / 22 Boy / 30 Boy ;?;?;;;;;;
;870723;ÇIT ÇIT;23 mm;37;?;?;;;;;;
;871724;ÇIT ÇIT;24 mm;38;?;?;;;;;;
;872208;RİVET;08 mm;13;?;?;;;;;;
;873_027,5/22,5/17,5;ALTTAN DİKME DÜĞME;18 mm / 23 mm / 28 mm;29 Boy / 37 Boy / 45 Boy ;?;?;;;;;;
;874011;ALTTAN DİKME DÜĞME;11 mm;18;?;?;;;;;;
;  875_617,5/210;RİVET;10 mm;16;?;?;;;;;;
;  875_617,5/210;ÇAKMA DÜĞME;18 mm;29;?;?;;;;;;
;876910.5;ÜSTTEN DİKME DÜĞME;11 mm;18;?;?;;;;;;
;877_011,5/015,5;ALTTAN DİKME DÜĞME;12 mm / 16 mm;19 Boy / 26 Boy ;?;?;;;;;;
;878011.5;ALTTAN DİKME DÜĞME;12 mm;19;?;?;;;;;;
;879_915 :912;ÜSTTEN DİKME DÜĞME;12 mm / 15 mm;19 Boy / 24 Boy ;?;?;;;;;;
;880_29,5;SALLANTI;30 mm;48;?;?;;;;;;
;881_620;ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;882_037;TOKA;37 mm;59;?;?;;;;;;
;883217;RİVET;17 mm;27;?;?;;;;;;
;884030;TOKA;30 mm;48;?;?;;;;;;
;885208;RİVET;08 mm;13 Boy  ;?;?;;;;;;
;886056;TOKA;56 mm;90;?;?;;;;;;
;887020;TOKA;20 mm;32;?;?;;;;;;
;888019;ALTTAN DİKME DÜĞME;19 mm;30;?;?;;;;;;
;"889_008/013/017
/022/027";TOKA;08 mm / 13 mm / 17 mm / 22 mm / 27 mm;13 Boy / 21 Boy / 27 Boy / 35 Boy / 43 Boy ;?;?;;;;;;
;890_020/024;TOKA;20 mm / 24 mm;32 Boy / 38 Boy ;?;?;;;;;;
;891_020/025/030;TOKA;20 mm / 25 mm / 30 mm;32 Boy / 40 Boy / 48 Boy ;?;?;;;;;;
;892_020/025/030;TOKA;20 mm / 25 mm / 30 mm;32 Boy / 40 Boy / 48 Boy ;?;?;;;;;;
;893025;TOKA;25 mm;40;?;?;;;;;;
;894022;ALTTAN DİKME DÜĞME;22 mm;35;?;?;;;;;;
;895022;TOKA;22 mm;35;?;?;;;;;;
;896207.5;RİVET;08 mm;13;?;?;;;;;;
;897206;RİVET;06 mm;10;?;?;;;;;;
;898113.5;RİVET;14 mm;22;?;?;;;;;;
;899020;TOKA;20 mm;32;?;?;;;;;;
;900716;ÇIT ÇIT;16 mm;26;?;?;;;;;;
;901008;ALTTAN DİKME DÜĞME;08 mm;13;?;?;;;;;;
;"902_008Y / 010-Y 
/ 012 /  016 / 018
/020";TOKA;"08Y mm / 10Y mm / 12 mm / 16 mm / 
18 mm / 20 mm";13 Boy / 16 Boy / 19 Boy / 26 Boy / 29 Boy / 32 Boy ;?;?;;;;;;
;"903_010-Y / 012 
/016/ 018 / 020";TOKA;10Y mm / 12 mm / 16 mm / 18 mm / 20 mm;16 Boy / 19 Boy / 26 Boy / 29 Boy / 32 Boy ;?;?;;;;;;
;904_A;?;?;;?;?;;;;;;
;904_B;?;?;;?;?;;;;;;
;905010;ALTTAN DİKME DÜĞME;10 mm;16;?;?;;;;;;
;906044;TOKA;44 mm;70;?;?;;;;;;
;907133;RİVET;13 mm;21;?;?;;;;;;
;9080100;TOKA;100 mm;160;?;?;;;;;;
;909025;TOKA;25 mm;40;?;?;;;;;;
;910_121/130;RİVET;21 mm / 30 mm;34 Boy / 48 Boy ;?;?;;;;;;
;911060;TOKA;60 mm;96;?;?;;;;;;
;912922;ÜSTTEN DİKME DÜĞME;22 mm;35;?;?;;;;;;
;913913;ÜSTTEN DİKME DÜĞME;13 mm;21;?;?;;;;;;
;914013;ALTTAN DİKME DÜĞME;13 mm;21;?;?;;;;;;
;915_019 /  030  ;ALTTAN DİKME DÜĞME;19 mm / 30 mm;30 Boy / 48 Boy ;?;?;;;;;;
;916_207,5*12;RİVET;08x12 mm;19;?;?;;;;;;
;917208008;RİVET;08 mm;13;?;?;;;;;;
;917_208/008  ;ALTTAN DİKME DÜĞME;08 mm;13;?;?;;;;;;
;"918_207,5/
007,5";RİVET;08 mm;13;?;?;;;;;;
;"918_207,5/
007,5";ALTTAN DİKME DÜĞME;08 mm;13;?;?;;;;;;
;919_014/023,5;TOKA;14 mm / 24 mm;22 Boy / 38 Boy ;?;?;;;;;;
;920027;SALLANTI;27 mm;43;?;?;;;;;;
;921910;ÜSTTEN DİKME DÜĞME;10 mm;16;?;?;;;;;;
;922040;ÜSTTEN DİKME DÜĞME;40 mm;64;?;?;;;;;;
;923209;RİVET;09 mm;14;?;?;;;;;;
;924912;ÜSTTEN DİKME DÜĞME;12 mm;19;?;?;;;;;;
;925015;AGRAF;15 mm;24;?;?;;;;;;
;926010;TOKA;10 mm;16;?;?;;;;;;
;927014;AYAR;14 mm;22;?;?;;;;;;
;928008;SALLANTI;08 mm;13;?;?;;;;;;
;929012;AGRAF;12 mm;19;?;?;;;;;;
;"930_008/10/12/
14/18/20";AYAR;"08 mm / 10 mm / 12 mm / 14 mm / 
18 mm / 20 mm";13 Boy / 16 Boy / 19 Boy / 22 Boy / 29 Boy / 32 Boy ;?;?;;;;;;
;931809;SALLANTI;09 mm;14;?;?;;;;;;
;932_910/908;ÜSTTEN DİKME DÜĞME;08 mm / 10 mm;13 Boy / 16 Boy ;?;?;;;;;;
;933910;ÜSTTEN DİKME DÜĞME;10 mm;16;?;?;;;;;;
;"934_015/20/25/30
aynı ebatlarda 
taşlı";TOKA;15 mm / 20 mm / 25 mm / 30 mm;24 Boy / 32 Boy / 40 Boy / 48 Boy ;?;?;;;;;;
;935918;ÜSTTEN DİKME DÜĞME;18 mm;29;?;?;;;;;;
;936013.2;TOKA;14 mm;22;?;?;;;;;;
;937911;ÜSTTEN DİKME DÜĞME;11 mm;18;?;?;;;;;;
;938050;TOKA;50 mm;80;?;?;;;;;;
;"939_060
taşlı ve kulplu";TOKA;60 mm;96;?;?;;;;;;
;940917;ÜSTTEN DİKME DÜĞME;17 mm;27;?;?;;;;;;
;941209;RİVET;09 mm;14;?;?;;;;;;
;942208;RİVET;08 mm;13;?;?;;;;;;
;943_çoklu kalıp;TOKA;?;;?;?;;;;;;
;944_çoklu kalıp;TOKA;?;;?;?;;;;;;
;945_çoklu kalıp;TOKA;?;;?;?;;;;;;
;"946_No:24
kuşgözü";?;?;;?;?;;;;;;
;947_038/025/080;TOKA;25 mm / 38 mm / 80 mm;40 Boy / 61 Boy / 128 Boy ;?;?;;;;;;
;948011;ALTTAN DİKME DÜĞME;11 mm;18;?;?;;;;;;
;949011;ALTTAN DİKME DÜĞME;11 mm;18;?;?;;;;;;
;950010;ALTTAN DİKME DÜĞME;10 mm;16;?;?;;;;;;
;951207,5/07,5;RİVET;08 mm;13;?;?;;;;;;
;951207,5/07,5;ALTTAN DİKME DÜĞME;08 mm;13;?;?;;;;;;
;952036;TOKA;36 mm;58;?;?;;;;;;
;953210;RİVET;10 mm;16;?;?;;;;;;
;954007;ALTTAN DİKME DÜĞME;07 mm;11;?;?;;;;;;
;955016;ALTTAN DİKME DÜĞME;16 mm;26;?;?;;;;;;
;956012;TOKA;12 mm;19;?;?;;;;;;
;957207*7,8;RİVET;07x08 mm;11;?;?;;;;;;
;957207*7,8;ALTTAN DİKME DÜĞME;07x08 mm;11;?;?;;;;;;
;958209*5,8;RİVET;09x06 mm;14;?;?;;;;;;
;959207;RİVET;07 mm;11;?;?;;;;;;
;960018/024/15;ALTTAN DİKME DÜĞME;18 mm / 24 mm;29 Boy / 38 Boy ;?;16;;;;;;
;961211/011;ALTTAN DİKME DÜĞME;11 mm;18;?;?;;;;;;
;961211/011;RİVET;11 mm;18;?;?;;;;;;
;962910;ÜSTTEN DİKME DÜĞME;10 mm;16;?;?;;;;;;
;963009/012;?;09 mm / 12 mm;14 Boy / 19 Boy ;?;?;;;;;;
;964911;ÜSTTEN DİKME DÜĞME;11 mm;18;?;?;;;;;;
;965015/025;ALTTAN DİKME DÜĞME;15 mm / 25 mm;24 Boy / 40 Boy ;?;?;;;;;;
;966023.5;ALTTAN DİKME DÜĞME;24 mm;38;?;?;;;;;;
;967312;;12 mm;19;?;?;;;;;;
;"968206,5/
207,5/208,5
209,5/210,5
";RİVET;7 mm / 8 mm / 9 mm / 10 mm / 11 mm;11 Boy / 13 Boy / 14 Boy / 16 Boy / 18 Boy ;?;?;;;;;;
;969092;TOKA;92 mm;147;?;?;;;;;;
;970012;TOKA;12 mm;19;?;?;;;;;;
;"971_024/030/040/020/
027/034";TOKA;"20 mm / 24 mm / 27 mm / 30 mm / 
34 mm / 40 mm";32 Boy / 38 Boy / 43 Boy / 48 Boy / 54 Boy / 64 Boy ;?;?;;;;;;
;972;?;?;;?;?;;;;;;
;973208;RİVET;08 mm;13;?;?;;;;;;
;974_909 / 910;ÜSTTEN DİKME DÜĞME;09 mm / 10 mm;14 Boy / 16 Boy ;?;?;;;;;;
;975009;ALTTAN DİKME DÜĞME;09 mm;14;?;?;;;;;;
;976025;TOKA;25 mm;40;?;?;;;;;;
;?;ALTTAN DİKME DÜĞME;13 mm / 20 mm / 23 mm;21 Boy / 32 Boy / 36 Boy;?;?;;;;;;
;"978_015/018/
020/023/025";ALTTAN DİKME DÜĞME;15 mm / 18 mm / 20 mm / 23 mm / 25 mm;24 Boy / 29 Boy / 32 Boy / 37 Boy / 40 Boy ;?;?;;;;;;
;979_015/020;ALTTAN DİKME DÜĞME;15 mm / 20 mm;24 Boy / 32 Boy ;?;?;;;;;;
;980005;ALTTAN DİKME DÜĞME;05mm;8;;;;;;;;
;980006;ALTTAN DİKME DÜĞME; 06 mm;10;?;?;;;;;;
;981013;ALTTAN DİKME DÜĞME;13mm;21;;;;;;;;
;981015;ALTTAN DİKME DÜĞME;15mm;24;;;;;;;;
;"981020
";ALTTAN DİKME DÜĞME;20 mm;32;?;?;;;;;;
;982013;ALTTAN DİKME DÜĞME;13mm;21;;;;;;;;
;982015;ALTTAN DİKME DÜĞME;15mm;24;;;;;;;;
;982020;ALTTAN DİKME DÜĞME;20 mm;32;?;?;;;;;;
;"983025
";TOKA;25 mm;40;?;?;;;;;;
;984_017X13,5;ALTTAN DİKME DÜĞME;17x14 mm;27;?;?;;;;;;
;985_022X10 ;TOKA;22x10 mm;35;?;?;;;;;;
;986_053 ;TOKA;53 mm;85;?;?;;;;;;
;987010;AGRAF;10mm;16;;;;;;;;
;987012;TOKA;12 mm;19;?;?;;;;;;
;988111;RİVET;11 mm;18;?;?;;;;;;
;"989810

";SALLANTI;10 mm;16;?;?;;;;;;
;"990035


";ALTTAN DİKME DÜĞME;35 mm;56;?;?;;;;;;
;991008;ALTTAN DİKME DÜĞME;08 mm;13;?;?;;;;;;
;992008;ALTTAN DİKME DÜĞME;08 mm;13;?;?;;;;;;
;993008;ALTTAN DİKME DÜĞME;08 mm;13;?;?;;;;;;
;994008;ALTTAN DİKME DÜĞME;08 mm;13;?;?;;;;;;
;"995_013/020

";TOKA;13 mm / 20 mm;21 Boy / 32 Boy ;?;?;;;;;;
;"996008,5
";ALTTAN DİKME DÜĞME;09 mm;14;?;?;;;;;;
;"997030
";ALTTAN DİKME DÜĞME;30 mm;48;?;?;;;;;;
;"998024
KULPLU ÜÇGEN DİKME
MERTER ŞUBE";ALTTAN DİKME DÜĞME;24 mm;38;?;?;;;;;;
;999010;TOKA;10 mm;16;?;?;;;;;;
;"1000_108 / 212/208/
217";RİVET;08 mm / 12 mm / 17 mm;13 Boy / 19 Boy / 27 Boy ;0,5/0,7/1,7;BELİRTİLMEMİŞ;;;;;;
;1001020;ALTTAN DİKME DÜĞME;20mm;32;BELİRTİLMEMİŞ;BELİRTİLMEMİŞ;;;;;;
;"1001013
";ALTTAN DİKME DÜĞME;13 mm ;21 Boy ;4.2;BELİRTİLMEMİŞ;;;;;;
;"1002909
";ÜSTTEN DİKME DÜĞME;09 mm;14;0.4;BELİRTİLMEMİŞ;;;;;;
;"1003_025
HALTER METAL
AKSESUAR";;25 mm;40;4.7;BELİRTİLMEMİŞ;;;;;;
;"1004_019
PAPATYA BRİT
AKSESUAR
MERTER ŞUBE";ALTTAN DİKME DÜĞME;19 mm;30;2.2;BELİRTİLMEMİŞ;;;;;;
;1005910;ÜSTTEN DİKME DÜĞME;10 mm;16;0.8;16;;;;;;
;1006911;ÜSTTEN DİKME DÜĞME;11 mm;18;0.5;48;;;;;;
;1007_010;TOKA;10 mm;16;1.1;BELİRTİLMEMİŞ;;;;;;
;1008010;TOKA;10 mm;16;0.5;24;;;;;;
;YOK;TOKA;?;;0.7;20;;;;;;
;"1010008
";ALTTAN DİKME DÜĞME;08 mm;13;0.6;BELİRTİLMEMİŞ;;;;;;
;"1011007
";ALTTAN DİKME DÜĞME;07 mm;11;0.7;BELİRTİLMEMİŞ;;;;;;
;1012618;ÇAKMA DÜĞME;18 mm;29;3.5;BELİRTİLMEMİŞ;;;;;;
;1013917;ÜSTTEN DİKME DÜĞME;17 mm;27;1.5;BELİRTİLMEMİŞ;;;;;;
;1014809;SALLANTI;09 mm;14;1.2;16;;;;;;
;1015808;BAĞ UCU;08mm;13;1;;;;;;;
;10158012.5;BAĞ UCU;13 mm;21;2.2;12;;;;;;
;1016809;SALLANTI;09 mm;14;1.5;BELİRTİLMEMİŞ;;;;;;
;1017809;SALLANTI;09 mm;14;1.7;BELİRTİLMEMİŞ;;;;;;
;1018808;SALLANTI;08 mm;13;1.8;16;;;;;;
;1019207;RİVET;07 mm;11;0.8;BELİRTİLMEMİŞ;;;;;;
;1020920;ÜSTTEN DİKME DÜĞME;20 mm;32;2.8;BELİRTİLMEMİŞ;;;;;;
;1021112;RİVET;12 mm;19;1.2;BELİRTİLMEMİŞ;;;;;;
;1022011;TOKA;11 mm;18;1.9;12;;;;;;
;1023009;TOKA;09 mm;14;1.5;BELİRTİLMEMİŞ;;;;;;
;1024035;TOKA;35 mm;56;4.2;BELİRTİLMEMİŞ;;;;;;
;1025019;TOKA;19 mm;30;1.2;BELİRTİLMEMİŞ;;;;;;
;1026033;TOKA;33 mm;53;4.6;E;;;;;;
;1027007;ALTTAN DİKME DÜĞME;07 mm;11;0.5;BELİRTİLMEMİŞ;;;;;;
;1028028;TOKA;28 mm;45;2.5;6;;;;;;
;1029033;TOKA;33 mm;53;6.9;4;;;;;;
;1030013;ALTTAN DİKME DÜĞME;13 mm;21;1.9;16;;;;;;
;1031017;TOKA;17 mm;27;24.5;BELİRTİLMEMİŞ;;;;;;
;1032011;ALTTAN DİKME DÜĞME;11 mm;18;0.9;22;;;;;;
;1033207;RİVET;07 mm;11 Boy  ;0,5GR;BELİRTİLMEMİŞ;;;;;;
;1034010;ALTTAN DİKME DÜĞME;10 mm;16;0.9;22;;;;;;
;1035030;TOKA;30 mm;48;1.9;BELİRTİLMEMİŞ;;;;;;
;1036017;TOKA;17 mm;27;2.4;BELİRTİLMEMİŞ;;;;;;
;1037010;TOKA;10 mm;16;2.7;BELİRTİLMEMİŞ;;;;;;
;1038053;TOKA;53 mm;85;8.5;4;;;;;;
;1039024;TOKA;24 mm;38;9.7;4;;;;;;
;1040025;TOKA;25 mm;40;13.3;BELİRTİLMEMİŞ;;;;;;
;1041030;TOKA;30 mm;48;21.8;BELİRTİLMEMİŞ;;;;;;
;1042014;TOKA;14 mm;22;3.9;BELİRTİLMEMİŞ;;;;;;
;1043010;ALTTAN DİKME DÜĞME;10 mm;16;0.6;BELİRTİLMEMİŞ;;;;;;
;1044009;ALTTAN DİKME DÜĞME;09 mm;14;1.6;2;;;;;;
;1045025;TOKA;25 mm;40;17.5;4;;;;;;
;1046046;ALTTAN DİKME DÜĞME;46 mm;74;1,5GR KÜÇÜKLER 0,3GR;BELİRTİLMEMİŞ;;;;;;
;1047919;ÜSTTEN DİKME DÜĞME;19 mm;30;2.7;12;;;;;;
;1048824;SALLANTI;24 mm;38;3;BELİRTİLMEMİŞ;;;;;;
;1049906;ÜSTTEN DİKME DÜĞME;06 mm;10;0.12;32;;;;;;
;1050907.5;ÜSTTEN DİKME DÜĞME;08 mm;13;0.3;32;;;;;;
;1051911;ÜSTTEN DİKME DÜĞME;11 mm;18;0.7;20;;;;;;
;1052030;TOKA;30 mm;48;19.8;BELİRTİLMEMİŞ;;;;;;
;1053804;SALLANTI;04 mm;6;0.5;BELİRTİLMEMİŞ;;;;;;
;1054908.5;ÜSTTEN DİKME DÜĞME;09 mm;14;0.6;24;;;;;;
;1055007;TOKA;07 mm;11;1.6;BELİRTİLMEMİŞ;;;;;;
;1056911;ÜSTTEN DİKME DÜĞME;11 mm;18;0.6;BELİRTİLMEMİŞ;;;;;;
;1057810;SALLANTI;10 mm;16;2.17;16;;;;;;
;1058922;ÜSTTEN DİKME DÜĞME;22 mm;35;3.5;BELİRTİLMEMİŞ;;;;;;
;1059014;TOKA;14 mm;22;6.06;TEK GÖZ;;;;;;
;1060020;TOKA;20 mm;32;13,4GR;BELİRTİLMEMİŞ;;;;;;
;1061020;TOKA;20 mm;32;10.8;TEK GÖZ;;;;;;
;1062030;TOKA;30 mm;48;25.8;2;;;;;;
;1063063;TOKA;63 mm;101;8.4;BELİRTİLMEMİŞ;;;;;;
;1064-P;PUL;64mm ;;6.2;BELİRTİLMEMİŞ;;;;;;
;1064064;TOKA;64 mm 16 taşlı;102;24.8;BELİRTİLMEMİŞ;;;;;;
;1065920;ÜSTTEN DİKME DÜĞME;20 mm;32;2.4;BELİRTİLMEMİŞ;;;;;;
;1066066;TOKA;66 mm;106;8.7;BELİRTİLMEMİŞ;;;;;;
;1067209.5;RİVET;10 mm;16;0.7;BELİRTİLMEMİŞ;;;;;;
;1068119;RİVET;19 mm;30;1.5;BELİRTİLMEMİŞ;;;;;;
;1069024;TOKA;24mm;28;2;;;;;;;
;1069036;TOKA;36 mm; 58 boy;2.7;BELİRTİLMEMİŞ;;;;;;
;1070109;RİVET;09 mm;14;0.7;BELİRTİLMEMİŞ;;;;;;
;1070812;SALLANTI;12 mm;19;1.3;BELİRTİLMEMİŞ;;;;;;
;1071809;SALLANTI;09 mm;14;2.9;BELİRTİLMEMİŞ;;;;;;
;1072010;ALTTAN DİKME DÜĞME;10 mm;16;1;BELİRTİLMEMİŞ;;;;;;
;1073910;ÜSTTEN DİKME DÜĞME;10 mm;16;0.4;BELİRTİLMEMİŞ;;;;;;
;1074205;RİVET;05 mm;8;0.1;BELİRTİLMEMİŞ;;;;;;
;1075009;ALTTAN DİKME DÜĞME;09 mm;14;?;?;;;;;;
;1076005.3;ALTTAN DİKME DÜĞME;6 mm;10;0.1;BELİRTİLMEMİŞ;;;;;;
;1077010;ALTTAN DİKME DÜĞME;10mm;;1;BELİRTİLMEMİŞ;;;;;;
;1078110;TOKA;10 mm;16;21.7;BELİRTİLMEMİŞ;;;;;;
ÜRÜN YOK ;1079;ÜRÜN YOK;ÜRÜN YOK ;;ÜRÜN YOK ;ÜRÜN YOK ;;;;;;
YOK;108006;SALLANTI;6mm;;0.5;24;;;;;;
;1081065;SALLANTI;65mm;;9.1;2;;;;;;
;108034;SALLANTI;34 mm;54;2.9;BELİRTİLMEMİŞ;;;;;;
;1082030;TOKA;30 mm;48;12.8;BELİRTİLMEMİŞ;;;;;;
;1083040;TOKA;40MM;;7.8;4;;;;;;
;1083050;TOKA;50 mm;80;8.3;4;;;;;;
;1084_020;TOKA;20 mm;32;13.3;BELİRTİLMEMİŞ;;;;;;
;1085012;TOKA;12 mm;19;1.3;BELİRTİLMEMİŞ;;;;;;
;1086008;TOKA;08 mm;13;1;24;;;;;;
;1087007;TOKA;07 mm;11;0.01;BELİRTİLMEMİŞ;;;;;;
;1088017;TOKA;17 mm;27;4.7;BELİRTİLMEMİŞ;;;;;;
;1089017;TOKA;17MM;;2,4GR;BELİRTİLMEMİŞ;;;;;;
;1090010;AGRAF;10MM;;1.7;BELİRTİLMEMİŞ;;;;;;
;109104;TOKA;4CM;;10.2;BELİRTİLMEMİŞ;;;;;;
;10920911;ÜSTTEN DİKME DÜĞME;11 mm;18;0.6;BELİRTİLMEMİŞ;;;;;;
;1093050;TOKA;50 mm;80;5.5;2+2;;;;;;
;1094040;TOKA;40 mm;64;5.6;6;;;;;;
;1095214;RİVET;14mm;22;?;?;;;;;;
;1095212;RİVET;12 mm ;19;0.9;BELİRTİLMEMİŞ;;;;;;
;1096210;RİVET;10 mm;16;0.6;BELİRTİLMEMİŞ;;;;;;
;10970209;RİVET;09 mm;14;BELİRTİLMEMİŞ;BELİRTİLMEMİŞ;;;;;;
;1098020;ALTTAN DİKME DÜĞME;20 mm;32;1.8;BELİRTİLMEMİŞ;;;;;;
;1099050;ALTTAN DİKME DÜĞME;50 mm;80;13.5;BELİRTİLMEMİŞ;;;;;;
;1100017;ALTTAN DİKME DÜĞME;17 mm;27;2.1;BELİRTİLMEMİŞ;;;;;;
;1101017;ALTTAN DİKME DÜĞME;17 mm;27;2.5;BELİRTİLMEMİŞ;;;;;;
;1102011;ALTTAN DİKME DÜĞME;11 mm;18;1.3;BELİRTİLMEMİŞ;;;;;;
;1103_050 / _040;TOKA;40 mm / 50 mm;64 Boy / 80 Boy ;50MM/16,1GR 40 ÜRÜN YOK ;50/2GÖZ402GÖZ;;;;;;
;1104207;RİVET;07 mm;11;0.9;BELİRTİLMEMİŞ;;;;;;
;1105020;TOKA;20 mm;32;9.7;4;;;;;;
;1106910;ÜSTTEN DİKME DÜĞME;10 mm;16;0.5;BELİRTİLMEMİŞ;;;;;;
;1107910;ÜSTTEN DİKME DÜĞME;10mm;16;?;?;;;;;;
;1107909;ÜSTTEN DİKME DÜĞME;9mm;14;0.8;BELİRTİLMEMİŞ;;;;;;
;1108_030;TOKA;30 mm;48;5.7;BELİRTİLMEMİŞ;;;;;;
;"1109_040
1109-B";TOKA;40 mm;64;30.5;BELİRTİLMEMİŞ;;;;;;
;"1109_035
1109-A";TOKA;35 mm;56;0.6;46;;;;;;
;1110909.5;ÜSTTEN DİKME DÜĞME;10 mm;16;?;48;;;;;;
;1111207.5;RİVET;08 mm;13;0.5;BELİRTİLMEMİŞ;;;;;;
;1112;SALLANTI;?;;?;?;;;;;;
;1113011;TOKA;11 mm;18;2.5;BELİRTİLMEMİŞ;;;;;;
;1114908;ÜSTTEN DİKME DÜĞME;08 mm;13;1.1;BELİRTİLMEMİŞ;;;;;;
;1115920;ÜSTTEN DİKME DÜĞME;20mm;32;?;?;;;;;;
;1115917;ÜSTTEN DİKME DÜĞME;17mm;27;?;?;;;;;;
