 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;"160/000
";ALTTAN DİKME DÜĞME;?;?;?;?;;;;;;
;161/ 615;ÇAKMA DÜĞME;15 mm ;24;?;?;;;;;;
;"162/212;618;620;622";RİVET;12 mm ;19;?;?;;;;;;
;"162/212;618;620;622";ÇAKMA DÜĞME;18 mm / 20 mm / 22 mm ;29 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"163/720;";ÇIT ÇIT;20 mm ;32;?;?;;;;;;
;"164/211;618;620";RİVET;11 mm ;18;?;?;;;;;;
;"164/211;618;620";ÇAKMA DÜĞME;18 mm / 20 mm;29 Boy / 32 Boy ;?;?;;;;;;
;"165/012;017;022";ALTTAN DİKME DÜĞME;12 mm / 17 mm / 22 mm ;19 Boy / 27 Boy / 35 Boy ;?;?;;;;;;
;"166/212;617;020;022;
25;28";RİVET;12 mm ;19;?;?;;;;;;
;"166/212;617;020;022;
25;28";ÇAKMA DÜĞME;17 mm ;27;?;?;;;;;;
;"166/212;617;020;022;
25;28";ALTTAN DİKME DÜĞME;20 mm / 22 mm / 25 mm / 28 mm ;32 Boy / 35 Boy / 40 Boy / 45 Boy ;?;?;;;;;;
YOK;"167/915;918;920";ÜSTTEN DİKME DÜĞME;15 mm / 18 mm / 20 mm ;24 Boy / 29 Boy / 32 Boy ;?;?;;;;;;
;"168/212;220;617;
620;017;020;714
;012;212-t;012
";RİVET;12 mm / 12 mm / 20 mm ;19 Boy / 32 Boy ;?;?;;;;;;
;"168/212;220;617;
620;017;020;714
;012;212-t;012
";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"1149010620;017;020;714
;012;212-t;012
";ALTTAN DİKME DÜĞME;12 mm / 17 mm / 20 mm ;19 Boy / 27 Boy / 32 Boy ;?;?;;;;;;
;"168/212;220;617;
620;017;020;714
;012;212-t;012
";ÇIT ÇIT;14 mm ;22;?;?;;;;;;
;"169/215;712;715;
720;625 ; 630 ; 012 ;
011,3 ;008";RİVET;15 mm ;24;?;?;;;;;;
;"169/215;712;715;
720;625 ; 630 ; 012 ;
011,3 ;008";ÇIT ÇIT;12 mm / 15 mm / 20 mm;19 Boy / 24 Boy / 32 Boy ;?;?;;;;;;
;"169/215;712;715;
720;625 ; 630 ; 012 ;
011,3 ;008";ÇAKMA DÜĞME;25 mm / 30 mm ;40 Boy / 48 Boy ;?;?;;;;;;
;"169/215;712;715;
720;625 ; 630 ; 012 ;
011,3 ;008";ALTTAN DİKME DÜĞME;08 mm / 12 mm ;13 Boy / 19 Boy ;?;?;;;;;;
;"170/210;212;617;620";RİVET;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;"170/210;212;617;620";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"171/212;214";RİVET;12 mm / 14 mm ;19 Boy / 22 Boy ;?;?;;;;;;
;"172/210;214;617;620";RİVET;10 mm / 14 mm ;16 Boy / 22 Boy ;?;?;;;;;;
;"172/210;214;617;620";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"173/915;917;920;923;930";ÜSTTEN DİKME DÜĞME;15 mm / 17 mm / 20 mm / 23 mm / 30 mm ;24 Boy / 27 Boy / 32 Boy / 37 Boy / 48 Boy ;?;?;;;;;;
;"174/915;918;923;";ÜSTTEN DİKME DÜĞME;15 mm / 18 mm / 23 mm ;24 Boy / 29 Boy / 37 Boy ;?;?;;;;;;
;"176/010;012;016;019;
211;208;210";ALTTAN DİKME DÜĞME;10 mm / 12 mm / 16 mm / 19 mm ;16 Boy / 19 Boy / 26 Boy / 30 Boy ;?;?;;;;;;
;"176/010;012;016;019;
211;208;210";RİVET;08 mm / 10 mm / 11 mm;13 Boy / 16 Boy / 18 Boy ;?;?;;;;;;
;"177/210;617;620";RİVET;10 mm ;16;?;?;;;;;;
;"177/210;617;620";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"178/210;710;618;620";RİVET;10 mm ;16;?;?;;;;;;
;"178/210;710;618;620";ÇIT ÇIT;10 mm ;16;?;?;;;;;;
;"178/210;710;618;620";ÇAKMA DÜĞME;18 mm / 20 mm ;29 Boy / 32 Boy ;?;?;;;;;;
;"179/211;617;620;";RİVET;11 mm;18;?;?;;;;;;
;"179/211;617;620;";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"180/310;312;617;620";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"181/210;212;618;620;622";RİVET;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;"181/210;212;618;620;622";ÇAKMA DÜĞME;18 mm / 20 mm / 22 mm ;29 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"182/210;";RİVET;10 mm ;16;?;?;;;;;;
;"183/210;212;617";RİVET;10 mm / 12 mm;16 Boy / 19 Boy ;?;?;;;;;;
;"183/210;212;617";ÇAKMA DÜĞME;17 mm ;27;?;?;;;;;;
;"184/;210;212;617;620;";RİVET;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;"184/;210;212;617;620;";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"185/212;617;620;";RİVET;12 mm ;19;?;?;;;;;;
;"185/212;617;620;";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;186/020;ALTTAN DİKME DÜĞME;20 mm ;32;?;?;;;;;;
;"187/017;020;023;";ALTTAN DİKME DÜĞME;17 mm / 20 mm / 23 mm;27 Boy / 32 Boy / 37 Boy ;?;?;;;;;;
;188/215;RİVET;15 mm;24;?;?;;;;;;
;"189/710;717;210;617;620";ÇIT ÇIT;10 mm / 17 mm ;16 Boy / 27 Boy ;?;?;;;;;;
;"189/710;717;210;617;620";RİVET;10 mm ;16;?;?;;;;;;
;"189/710;717;210;617;620";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;190/723;ÇIT ÇIT;23 mm ;37;?;?;;;;;;
;"191/617;620";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"192/920;";ÜSTTEN DİKME DÜĞME;20 mm ;32;?;?;;;;;;
;"193/212;617;620;017";RİVET;12 mm ;19;?;?;;;;;;
;"193/212;617;620;017";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"193/212;617;620;017";ALTTAN DİKME DÜĞME;17 mm ;27;?;?;;;;;;
YOK;"194/617;620;720;716;";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
YOK;"194/617;620;720;716;";ÇIT ÇIT;16 mm / 20 mm ;26 Boy / 32 Boy ;?;?;;;;;;
;195/;ÜSTTEN DİKME DÜĞME;?;?;?;?;;;;;;
?;"196/914;916;920;922";ÜSTTEN DİKME DÜĞME;14 mm / 16 mm / 20 mm / 22 mm ;22 Boy / 26 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;197/917;ÜSTTEN DİKME DÜĞME;17 mm ;27;?;?;;;;;;
YOK;"198/018;023;218;214";;18 mm / 23 mm ;29 Boy / 37 Boy ;?;?;;;;;;
YOK;"198/018;023;218;214";RİVET;14 mm / 18 mm ;22 Boy / 29 Boy ;?;?;;;;;;
;"199/210;214;617;620;622";RİVET;10 mm / 14 mm ;16 Boy / 22 Boy ;?;?;;;;;;
